Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
10/3/22,BioBot,Municipal,Brockton/ Abington,Detected,2070452.604,4,copies/L,Brockton,MA,Plymouth,1/5/23
11/29/22,BioBot,Municipal,MWRA Northern,Detected,841756.4404,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/3/22,BioBot,Municipal,Pittsfield WWTP,Detected,848685.1282,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
1/19/22,BioBot,Municipal,MWRA Southern,Detected,2806069.333,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/27/20,BioBot,Municipal,MWRA Southern,Detected,11251.93556,7,copies/L,Winthrop,MA,Suffolk,1/5/23
2/24/22,BioBot,Municipal,Hull WWTF,Detected,144280.739,3,copies/L,Hull,MA,Plymouth,1/5/23
11/8/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1300393.882,4,copies/L,North Andover,MA,Essex,1/5/23
7/22/21,BioBot,Municipal,Wareham WPCF,Detected,33729.48755,2,copies/L,Wareham,MA,Plymouth,1/5/23
3/18/22,BioBot,Municipal,MWRA Northern,Detected,135365.1873,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/8/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,413046.2848,7,copies/L,Provincetown,MA,Barnstable,1/5/23
7/25/22,BioBot,Municipal,Fall River WWTP,Detected,351448.2467,5,copies/L,Fall River,MA,Bristol,1/5/23
5/4/22,BioBot,Municipal,SESD-Peabody/Salem Pump,Detected,961345.3236,4,copies/L,Salem,MA,Essex,1/5/23
5/18/22,BioBot,Municipal,Amherst WWTP,Detected,1080219.233,4,copies/L,Hadley,MA,Hampshire,1/5/23
2/5/22,BioBot,Municipal,MWRA Southern,Detected,715651.4055,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/12/22,BioBot,Municipal,Brockton/ Abington,Detected,1707083.199,4,copies/L,Brockton,MA,Plymouth,1/5/23
6/27/22,BioBot,Municipal,Haverhill WWTP,Detected,677727.4915,4,copies/L,Haverhill,MA,Essex,1/5/23
7/21/21,BioBot,Municipal,MWRA Northern,Detected,109964.3011,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/24/22,BioBot,Municipal,MWRA Southern,Detected,586619.2042,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/9/21,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,46005.00843,2,copies/L,North Andover,MA,Essex,1/5/23
3/13/21,BioBot,Municipal,MWRA Northern,Detected,275453.9545,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/8/21,BioBot,Municipal,MWRA Southern,Detected,454764.1564,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/26/22,BioBot,Municipal,Wareham WPCF,Detected,682715.3164,2,copies/L,Wareham,MA,Plymouth,1/5/23
2/17/21,BioBot,Municipal,MWRA Southern,Detected,459313.6118,7,copies/L,Winthrop,MA,Suffolk,1/5/23
